plant,axis,metamer,organ,element,width,height,STAR,nitrates,amino_acids,proteins,Nstruct,green_area
1,MS,10,blade,LeafElement1,0.018000,0.600000,0.000002,0.000000,16.000000,380.000000,0.001020,0.003460
1,MS,10,internode,HiddenElement,0.002570,0.300000,0.000000,0.000000,17.000000,66.000000,0.000640,0.001130
1,MS,10,internode,StemElement,0.002570,0.400000,0.000001,0.000000,5.000000,22.000000,0.000210,0.000370
1,MS,10,sheath,StemElement,0.001100,0.500000,0.000000,0.000000,12.000000,128.000000,0.000680,0.000600
1,MS,11,blade,LeafElement1,0.014000,0.380000,0.000006,0.000000,10.000000,210.000000,0.000830,0.003400
1,MS,11,internode,HiddenElement,0.000990,0.180000,0.000000,0.000000,21.000000,20.000000,0.000330,0.000400
1,MS,11,sheath,StemElement,0.000910,0.300000,0.000001,0.000000,8.000000,47.000000,0.000210,0.000500
1,MS,12,blade,LeafElement1,0.012500,0.240000,0.000026,0.000000,6.000000,85.000000,0.000530,0.002280
1,MS,12,internode,HiddenElement,0.000930,0.080000,0.000000,0.000000,18.000000,20.000000,0.000140,0.000250
1,MS,12,sheath,StemElement,0.000510,0.180000,0.000007,0.000000,5.000000,13.000000,0.000110,0.000400
1,MS,13,peduncle,HiddenElement,0.003490,0.650000,0.000001,0.000000,20.000000,120.000000,0.000860,0.001590
1,MS,13,peduncle,StemElement,0.003490,0.500000,0.000013,0.000000,10.000000,61.000000,0.000440,0.000810
1,MS,14,ear,StemElement,0.002650,0.700000,0.000030,0.000000,25.000000,260.000000,0.001070,0.000750
